214    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
215    0.94545623527015976 0.055558578359196469 0.85628117030264206  0         -1 -1 -0.70832151174545288 
216    0.78929085225138773 0.13419694285646372 0.54026516877992625  0         -0.64739072322845459 -0.73447352647781372 -0.076372087001800537 
217    0.94545623527015976 0.18617871574616263 0.41750808139665019  0         -1 -0.85167884826660156 0.1564791202545166 
218    0.94545623527015976 0.055484602028034458 0.65395788376251596  0         -1 -1 -0.29303103685379028 
219    0.94545623527015976 0.41182093685099536 0.65911454438596917  0         -1 -0.59948915243148804 -0.30260372161865234 
220    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
221    0.94545623527015976 0.055476634339348088 0.39650640741021703  0         -1 -1 0.19620275497436523 
222    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
223    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
224    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
225    0.13218449489013825 0.55513997739675536 0.44968535173584995  0         0.82437765598297119 0.47363793849945068 0.095321416854858398 
226    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
227    0.8797571413266525 0.27370918973791691 0.50265059100664244  0         -0.85125648975372314 -0.67884266376495361 -0.0047257542610168457 
228    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
229    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
230    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
231    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
232    0 0 0  0         -0.94332599639892578 -1 0.023646712303161621 
233    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
234    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
235    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
236    0.94545623527015976 0.055509413954607227 0.74896609369375378  0         -1 -1 -0.48102003335952759 
237    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
238    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
239    0.37005412660717757 0.12900574806797271 0.087142081725529882  0         0.28998661041259766 -0.27114403247833252 0.83845245838165283 
240    0.94545623527015976 0.055482697588596079 0.64361639321758624  0         -1 -1 -0.27272361516952515 
241    0.94545623527015976 0.055470337008683174 0.48568784439265039  0         -1 -1 0.027158021926879883 
242    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
243    0.78929085225138773 0.13419694285646372 0.54026516877992625  0         -0.64739072322845459 -0.73447352647781372 -0.076372087001800537 
244    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
245    0.89698724099907934 0.68827899640896462 0.81630777596508486  0         -0.89044678211212158 -0.23453986644744873 -0.62136417627334595 
246    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
247    0.37005412660717757 0.10958172684624486 0.087142081725530063  0         0.28998661041259766 -0.293293297290802 0.83845245838165283 
248    0.94545623527015976 0.055502016577862738 0.72564285895630765  0         -1 -1 -0.43362021446228027 
249    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
250    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
251    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
252    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
253    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
254    0.94545623527015976 0.081863074792202076 0.40279712752349017  0         -1 -0.9704011082649231 0.1836860179901123 
255    0.94545623527015976 0.055485099229005998 0.65653742096440559  0         -1 -1 -0.29760384559631348 
256    0.94545623527015976 0.05554904571575895 0.8399316135774576  0         -1 -1 -0.67221534252166748 
257    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
258    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
259    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
260    0.38214122651294791 0.86507895668237744 0.30254518649242695  0         0.26304495334625244 0.54096591472625732 0.37822389602661133 
261    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
262    0.7148806487439413 0.060502702404342051 0.54026516877992625  0         -0.4804072380065918 -0.73447352647781372 -0.076372087001800537 
263    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
264    0.94545623527015976 0.055476634339348088 0.39650640741021703  0         -1 -1 0.19620275497436523 
265    0.78929085225138773 0.13419616613462959 0.50583124266787216  0         -0.64739072322845459 -0.73447352647781372 -0.011297166347503662 
266    0.94545623527015976 0.055601775285652147 0.9153697026671157  0         -1 -1 -0.84422093629837036 
267    0.095509428521234396 0.63161598837974742 0.58564786654221201  0         0.90747082233428955 0.60114562511444092 -0.16234415769577026 
268    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
269    0.21382245002817182 0.056678863765167606 0.97727996749278345  0         0.6396019458770752 -0.17757350206375122 -1 
